KnowledgeArticleId,Title,Summary,Answer__c,Question__c,Chat_Answer__c
kA030000000TxVOCA0,*私の情報のプライバシーは守られていますか？,全てのデータが安全に管理されています,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",私の情報は他の人に見えますか？,
kA0a0000000odV8CAI,USBがよく途切れます。,BIOSをアップデートする必要があります,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",USBがよく途切れます。,製品のメーカーに、最新のBIOSの取得方法についてご確認ください。
kA030000000oPeuCAE,いつ注文した製品が届きますか？,住む場所によって多少異なりますが、製品の配達には通常2、3日かかります,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",いつ注文した製品が届きますか？,
kA030000000TxVFCA0,いつ製品が届きますか？,住む場所によって多少異なりますが、製品の配達には通常2、3日かかります,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",いつ製品が届きますか？,
kA030000000TxVDCA0,クレジットカードで支払いができますか？,Visa、JCB、Mastercard、American Expressがご利用可能です,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",クレジットカードで支払いができますか？,
kA030000000oPezCAE,なるべく安く購入したいのですがどこがお勧めですか？,我が社の製品は様々な小売店や直販店、オンラインショップなどで取り扱っており、割引額もお店や時期によって様々です,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",なるべく安く購入したいのですがどこがお勧めですか？,
kA030000000oPf4CAE,ホームシアター用の音響システム購入したいのですがどこを探したらいいですか？,人によって必要なものが異なりますので、自分が必要な機能をリストアップするといいと思います,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",ホームシアター用の音響システム購入したいのですがどこを探したらいいですか？,
kA030000000TxV7CAK,ライセンスをアップグレードするにはどうしたらいいですか？,サービスレベルアグリーメント（SLA）の概要,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",ライセンスをアップグレードするにはどうしたらいいですか？,
kA030000000TxVLCA0,事前登録するにはどうしたらいいですか？,プロファイルページから登録ボタンをクリックしてください,"<span style=""font-size: 14px; "">お客様の情報は、個人情報保護法に基づいて、全てのデータが安全に管理されています。<br><br>下記は、個人情報保護法に関するよくある疑問と回答です。</span><br><br><br><br><span style=""font-size: 16px; "">Q1: 個人情報保護法の目的はどのようなものですか。</span><br><br>A1: 個人情報保護法は、個人情報の有用性に配慮しながら、個人の権利利益を保護することを目的としています。<br><br><br><span style=""font-size: 16px; "">Q2: 個人情報保護法によって、消費者にはどのようなメリットがあるのですか。</span><br><br>A2: 個人情報保護法によって、消費者は、事業者による個人情報の取扱いに不安を感じたような場合、自分に関する情報の開示や訂正、利用停止などを、その問題の事業者に求めることができるようになりました。また、個人情報の取扱いに関する苦情がある場合には、問題の事業者に直接申し出るだけではなく、認定個人情報保護団体や地方公共団体などに相談できるようになりました。<br><br><br><span style=""font-size: 16px; "">Q3: 個人情報保護とはどういうことですか。プライバシー保護とは違うのですか。</span><br><br>A3: 個人情報保護法は、個人情報取扱事業者が個人情報の適正な取扱いのルールを遵守することにより、プライバシーを含む個人の権利利益の侵害を未然に防止することを狙いとしています。したがって、個人情報の取扱いとは関係のないプライバシーの問題などは、この法律の対象とはなりません。プライバシー侵害などが実際に発生した後の個人の権利利益の救済については、従来どおり、民法上の不法行為や刑法上の名誉毀損罪などによって図られることになります。<br><br><br><span style=""font-size: 16px; "">Q4: 国の行政機関や地方自治体には、個人情報保護法は適用されるのですか。</span><br><br>A4: 個人情報保護法は、①官民を通じた個人情報の取扱いに関する基本理念などを定めた部分と、②民間の事業者における個人情報の取扱いのルールを定めた部分から構成されています。このうち、①については国の行政機関や地方公共団体にも関わりますが、②については民間部門のみを対象としています。<br><br>国の行政機関や地方公共団体における個人情報の取扱いのルールは、それぞれ、行政機関の保有する個人情報の保護に関する法律、各地方公共団体の個人情報保護条例で定められています。<br>",事前登録するにはどうしたらいいですか？,
