KnowledgeArticleId,Title,Summary,Answer__c,Additional_Links__c,Chat_Answer__c
kA130000000TysMCAS,*支払い方法と請求書について教えてください,*支払い方法と請求書について教えてください,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysICAS,ベータ製品の概要,ベータ製品の概要,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysDCAS,保証の延長とアップグレード,保証の延長とアップグレード,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysLCAS,壊れた製品はどこに送ればいいですか？,壊れた製品はどこに送ればいいですか？,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysNCAS,導入プロセス,導入プロセス,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysGCAS,所有者の切り替え,所有者の切り替え,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysACAS,製品とサービス,製品とサービス,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysKCAS,製品との統合方法,製品との統合方法,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysCCAS,製品の概要,製品の概要,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysJCAS,製品の見積書,製品の見積書,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysECAS,製品の返品,製品の返品,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysHCAS,製品の配送,製品の配送,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysBCAS,製品価格（東日本）,製品価格（東日本）,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000TysFCAS,製品価格（西日本）,製品価格（西日本）,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
kA130000000Tys9CAC,請求書のリクエスト,請求書のリクエスト,"<div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<span style=""font-size: 16px; ""><strong>ご利用いただけるクレジットカード</strong></span><br>	 </div><span style=""font-size: 14px; ""><span style=""background-color: rgb(255, 255, 255); "">以下のマークがあるクレジットカードでお支払い頂けます。</span></span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><img alt=""ご利用いただけるクレジットカード"" border=""0"" height=""78"" src=""https://c.na12.content.force.com/servlet/servlet.ImageServer?id=015U00000024mfP&amp;oid=00DU0000000Lg8A&amp;lastMod=1405456368000"" style=""font-size: 14px; background-color: rgb(255, 255, 255); ""></img><div class=""beam"" style=""font-weight: bold; font-size: 14px; "">	<br>	<br>	<br>	<span style=""font-size: 16px; ""><strong>請求書について</strong></span><br>	 </div><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">ご利用料金の内訳書は送付いたしません。ご利用料金の内訳については「WEB明細サービス」にて確認が可能です。ぜひ、「</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">WEB明細サービス</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">」へのご加入をおすすめいたします。</span><br style=""font-size: 14px; background-color: rgb(255, 255, 255); ""><span style=""font-size: 14px; background-color: rgb(255, 255, 255); "">なお、クレジットカードによるお支払の申し込み手続きの際に、一括してお申し込みいただけます。</span>","<ul><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">請求書の内容に誤りがあった場合のお手続き方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">過去明細のご請求方法</a></li><li>		<a href=""http://www.salesforce.com/jp/"" target=""_blank"">自動引き落としの申込み方法</a></li></ul>",
