Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION
Account.001,Union des partenaires*,Paris,1 avenue Montaigne,Paris,,94105,France,1 avenue Montaigne,Paris,,94105,France,01 67 55 50 15,01 67 55 50 18,http://www.unionpartenaires.com,Anciennement appelé Union des partenaires*
Account.004,Union des partenaires (Est),Lyon,21 bd Clémenceau,Lyon,,22209,France,21 bd Clémenceau,Lyon,,22209,France,04 72 50 15 33,04 72 50 15 82,http://unionpartenaires.net,Acteur prometteur du secteur.
Account.002,Union des partenaires (région parisienne),Paris,333 rue de la République,Paris,,94110,France,333 rue de la République,Paris,,94110,France,01 55 50 15 68,01 55 50 15 82,http://www.unionpartenairesparis.com,Leader du marché dans son secteur.
Account.010,Ace,Chelles,240 avenue Leclerc,Melun,,94401,France,240 avenue Leclerc,Melun,,94401,France,01 79 45 55 01,01 79 45 55 02,http://www.ace.com,Acteur prometteur du secteur.
Account.006,Advanced Inc.*,Versailles,178 avenue de la paix,Évry,,95125,France,178 avenue de la paix,Évry,,95125,France,01 34 60 01 53,01 34 60 01 82,http://www.Advanced.com,Société novatrice dans son secteur.
Account.007,Universal Services,Bordeaux,41 rue des tamaris,Bordeaux,,89119,France,41 rue des tamaris,Bordeaux,,89119,France,05 27 45 01 53,05 27 45 01 01,http://universalservices.net,Acteur prometteur du secteur.
Account.008,Entreprises VDA,Montpellier,34 rue de Marseille,Montpellier,,38111,France,34 rue de Marseille,Montpellier,,38111,France,04 12 34 56 78,04 12 34 56 99,http://entreprisesvda.com,Société novatrice dans son secteur.
Account.009,Technologies Alti,Brest,16 rue des aubépines,Brest,,97233,France,16 rue des aubépines,Brest,,97233,France,02 94 55 01 28,02 94 55 01 22,http://www.technologiesalti.com,Acteur prometteur du secteur.
Account.003,Union des partenaires (Paris),Toulouse,84 rue Barrault,Toulouse,,85281,France,84 rue Barrault,Toulouse,,85281,France,05 55 01 53 12,05 55 01 53 18,http://unionpartenairesmp.net,Leader du marché dans son secteur.
Account.005,Union des partenaires (Rhône-Alpes),Saint-Étienne,14 rue du commerce,Saint-Étienne,,23224,France,14 rue du commerce,Saint-Étienne,,23224,France,04 72 89 65 47,04 72 89 65 42,http://www.unionpartenairesra.com,Société novatrice dans son secteur.